,sec_name,2017-03-20,2017-03-21,2017-03-22,2017-03-23,2017-03-24,2017-03-27,2017-03-28,2017-03-29,2017-03-30,2017-03-31,2017-04-05,2017-04-06,2017-04-07,2017-04-10,2017-04-11,2017-04-12,2017-04-18,2017-04-19,2017-04-20,2017-04-21,2017-04-24,2017-04-25,2017-04-26,2017-04-27,2017-04-28,2017-05-04,2017-05-05,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-31,2017-06-01,2017-06-02,2017-06-05,2017-06-06,2017-06-07,2017-06-08,2017-06-09,2017-06-12,2017-06-13,2017-06-14,2017-06-15,2017-06-16,2017-06-19,2017-06-20,2017-06-21,2017-06-22,2017-06-23,2017-06-26,2017-06-27,2017-06-28,2017-06-29,2017-06-30,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27,2017-10-30,2017-10-31,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-20,2017-11-21,2017-11-22,2017-11-23,2017-11-24,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2017-12-04,2017-12-05,2017-12-06,2017-12-07,2017-12-08,2017-12-11,2017-12-12,2017-12-13,2017-12-14,2017-12-15,2017-12-18,2017-12-19,2017-12-20,2017-12-21,2017-12-27,2017-12-28,2017-12-29,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-12,2018-02-13,2018-02-14,2018-02-22,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,2018-03-02,2018-03-05,2018-03-06,2018-03-07,2018-03-08,2018-03-09,2018-03-12,2018-03-13,2018-03-14,2018-03-15,2018-03-16,2018-03-19,2018-03-20,2018-03-21,2018-03-22,2018-03-23,2018-03-26,2018-03-27,2018-03-28,2018-03-29,2018-04-03,2018-04-04,2018-04-09,2018-04-10,2018-04-11,2018-04-12,2018-04-13,2018-04-16,2018-04-17,2018-04-18,2018-04-19,2018-04-20,2018-04-23,2018-04-24,2018-04-25,2018-04-26,2018-04-27,2018-05-02,2018-05-03,2018-05-04,2018-05-07,2018-05-08,2018-05-09,2018-05-10,2018-05-11,2018-05-14,2018-05-15,2018-05-16,2018-05-17,2018-05-18,2018-05-21,2018-05-23,2018-05-24,2018-05-25,2018-05-28,2018-05-29,2018-05-30,2018-05-31,2018-06-01,2018-06-04,2018-06-05,2018-06-06,2018-06-07,2018-06-08,2018-06-11,2018-06-12,2018-06-13
000001.SZ,平安银行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0741894385777,-0.00641756253377,0.00390934370945,-0.0293527953998,0.0511314283482,-0.0114752721376,0.0868985709454,0.121263447941,0.193849313859,-0.000558007435178,-0.00953203934013,0.0400350526993,0.0447124417258,0.0302696012557,0.00810881826813,0.0146794796514,0.0442072299696,0.0131959672839,0.00279168207879,-0.0136723505649,0.00981458503173,0.00307158649168,-0.000903324190283,-0.00347702353124,0.0295716030519,0.0126797664577,-0.0100993646888,-0.00558967887325,-3.81115590293e-05,0.00965458011071,0.0144712297039,0.00311340962502,-0.00430400659279,-0.0133584014289,-0.0164252914787,0.0130681867365,0.0100283492924,-0.0377361969831,0.0117050288638,0.126668833814,0.0800685506959,0.0339799421874,0.0196077657116,0.0377068253437,0.0502683508878,0.00892283824225,0.0274265590881,0.00358122265497,0.003309968905,-0.00607159779021,-0.0182361672173,-0.000870261372328,0.0125798798276,-0.00490332824854,0.0179842847929,-0.00310753104065,0.0096749062853,-0.00233849633356,-0.00281929917206,0.0206402855474,0.0307501566775,0.125732312018,0.0733257797312,0.0190995141601,0.118070064691,0.049837797877,-0.00409199014812,0.00622595429483,0.0136862592,-0.00800914268764,-0.00373700009644,0.0107282165126,-0.00127587419159,-0.0113695977748,-0.0257520986592,0.02339866293,0.00893958541402,-0.010965010412,0.0203234023791,0.0164284363189,-0.013361413941,0.0054441860852,-0.00659599170795,0.0145102043346,-0.0138903556828,-0.0180811116209,0.000812374552278,0.00551997944299,-0.0101206515831,0.00911830062526,0.0178025574752,-0.00151810997227,0.00914441862493,-0.013462640993,0.0282676512929,0.00813446615313,-0.000558040698481,0.0107100194424,0.0071052750606,0.0102707167483,-0.00386850379706,-0.00361705723352,-1.08412190145e-05,-0.00149785937487,0.0125488848354,0.0123316207654,0.0234822910679,0.0111782914305,0.0212547022136,-0.000429841435991,-0.00630831386981,0.0435261764325,0.00257395662275,0.0167622623045,0.0149909619374,0.00923895685108,-0.0104995249998,-0.000829627467419,0.00218641505806,-0.00327135448431,-0.0117525413959,-0.0406911657231,0.033909567868,-0.00910729305642,-0.0143406198824,0.00330326971562,-0.000656361950527,0.018412225552,0.0287082742516,0.0124663187562,0.00931899161284,0.00225313174993,-0.0222498318546,-0.00269933639115,-0.0025611936167,-0.0106121597077,0.00403741262627,-0.0352669983962,-0.00771083100693,-0.0055918619382,0.00419947998049,0.00260550393584,-0.00568313099966,-0.00160605336582,-0.00371512442868,-0.00362252627987,0.00449730408061,0.00304846062398,-0.00102869074553,-0.0137882091073,0.00464790163437,-0.00329735116999,-0.0027366357002,0.0,0.00566973102759,0.00664627277899,0.0102720334758,0.0128922816811,-0.0139407686169,-0.00101200638099,0.0309791641919,-0.00145497888681,0.00492513740749,0.0115649900437,-0.00382211248433,-0.0077558186298,0.000160698253872,0.00522362281624,-0.00260196038329,0.00130129606644,-0.00449470584103,-0.000320100072142,-0.00233127820231,-0.00671616954901,-0.0138583464404,0.00409245889252,0.00150528016505,-0.000465855558273,0.00448530814585,0.00151798602029,-0.00505348006888,-0.0235018208293,-0.00316728504221,0.0165836628581,0.0,-0.00587289047422,0.00481486101396,-0.00162177078856,0.00645993169752,0.0124819630784,-0.0290982981109,-0.00622032908553,0.00226556722824,0.00644228344676,0.000288921642845,0.00202228505449,0.0178909064422,-0.0624463483187,-0.0375765276842,-0.0477556863872,-0.0104606225927
000002.SZ,万科A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091631480538,0.0175479588311,-0.0153051361389,0.0579769660327,0.0160759404912,0.0466980606341,0.029489981287,-0.043164926978,,,,,0.0941088231207,-0.0227876901149,0.0470162417043,0.0425950973598,0.0667246830556,-0.0223971550351,0.0542880722623,0.120238811493,0.0249589106694,-0.0177968429802,-0.0157900047175,-0.00678259008158,0.0115366133829,-0.0210600094378,-0.0313454887129,-0.0333602699028,0.00405008226464,-0.0260312566732,0.0257943136283,-0.0064783924929,0.00526865405238,-0.0156228562007,-0.00702531051091,0.00199496994825,0.0247405982169,0.0301419823741,-0.0207589812877,-0.00595268943995,-0.00213167571501,0.0280989176606,0.00323707824388,-0.0212480387635,0.00596043820884,-0.0205026883272,-0.0198852574616,0.00427026711191,-0.0832787627812,-0.0187231077645,-0.0137837104574,-0.0119827136067,0.0440565629975,0.00944467997582,-0.018131621965,0.0377494253625,0.0240543376455,-0.0327187927344,0.0144428721735,-0.0195209339976,-0.0666086978794,-0.0744367855479,,0.180682807554,0.0364408455188,0.0103972374959,0.0654784200938,0.107948511764,-0.010717729948,0.0587302147834,0.0147533955322,-0.0120756061228,0.0313703253956,0.0287221613474,0.0280810245766,-0.00929390554048,0.0241975159728,0.0274452663815,0.0161183269947,0.00547195944876,-0.00334869860645,0.0255116504114,0.00309468754774,0.014693397645,0.0408976641637,-0.0595932725168,-0.102828876261,-0.126365822002,0.0366927383701,-0.00297736740927,0.0162901916552,-0.0166461884789,-0.018246876638,0.0218754066826,0.0315361724554,-0.00505474041605,0.0133750684508,-0.00796260780561,0.0035444773239,-0.0161249759222,-0.0669490906976,-0.0581637108775,0.0787040542099,0.0461760669892,0.0283338635684,-0.0198936576133,-0.0176486224687,-0.00200401423629,0.0294972633754,-0.00211826796589,0.0415637509984,0.035455784082,-0.0329140473688,-0.0171470326853,-0.00590267416081,-0.0430919575068,0.0185858170301,-0.049299343063,0.0415622429267,-0.0143605838925,0.00727838228578,0.0035415300543,0.0134302776313,-0.0181503792558,-0.00295484000839,-0.0258410130771,-0.00885788065059,0.0132934605905,0.0337581958828,0.016370275491,0.0475114935272,-0.0427391705698,0.00665977806302,0.0,0.00889704107897,0.00399568193995,0.0196833235108,0.00980857318198,0.00655712890907,0.0120540481022,-0.0167310864675,0.0259959277563,0.00760896557238,0.0432110855614,0.0383872993791,-0.0294299345999,0.0113522658838,0.0429536742135,0.00599302771773,-0.109941950191,0.0644863727027,0.0781780893069,-0.0114840930908,-0.0510220237054,0.0229266760112,-0.011731209331,-0.00361239206405,-0.00684230467988,0.0101471458791,0.0571777752964,0.0156456452904,-0.0172543704991,-0.0297913359425,0.0471689806716,0.0,0.000247944956286,0.0534648355879,-0.00720349666043,0.0115558041043,-0.0107801752894,-0.00346948162251,0.0967178266399,0.00478358918437,0.0402341964073,0.012186112723,0.0312700116282,0.0260832067668,-0.0120162351625,0.0151062094456,0.00246743268429,0.00127311489156
000004.SZ,国农科技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000005.SZ,世纪星源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.452583663143,-0.0121178712051,0.00286776755831,-0.010671456681,-0.0137738622475,0.00695855598666,0.172404009113,0.00459059837132,-0.0218541092559,-0.00505279393394,0.00106392199381,0.0121725026425,0.0173041650817,0.137273548113,-0.00462253045546,0.00644324257033,-0.00494040590085,0.00195441194537,-0.0190456067165,0.00694112346406,-0.000735936980245,-0.000945148027366,-0.00926384157995,0.00572932865661,0.075240703667,0.00456413015707,0.00439499121687,0.00238677806783,-0.0101933539786,0.00560164919884,-0.000159481057751,0.00762213184534,-0.353913377383,0.0108855976193,0.00672798524698,-0.000997414632485,0.0114989342829,-0.0289991514685,0.0138810165531,-0.0136909719449,0.00301456420093,0.00318600889,0.00444168305299,0.0103007560651,0.0105905165615,0.00161354234198,0.00130571170869,-0.00345477722022,-0.0294504158151,0.0138850781285,0.0113980444064,0.00532744400336,-0.0165260705132,-0.00906678281359,0.0137856105762,-0.000825172293396,-0.0140395140057,0.0,0.000802712890365,0.00088925047867,-0.0016898168674,0.0110285771024,-0.0100625378963,0.0129719166722,0.011084591093,0.00485166915293,-0.00175510908698,-0.00529494992454,-0.0122329752217,0.00573451245503,0.0109227546569,0.000441703091599,-0.03115688531,0.000350543438729,-0.000630757081957,-0.163679578641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239865133624,0.593292298455,0.496990353396,-0.0032546707639,0.083298424352,0.00442136653444,-0.00186028295133,0.0,0.0,0.0,-0.00166433646778,-0.000883492058444,0.0,0.0,0.0,0.0,-6.1514664827e-06,0.0,0.0,0.0,0.0,0.0,0.0,-7.68938040434e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000192235988284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0769091800259,-0.166634048052,-0.199953031033,0.0,0.0,-0.249926615298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,深振业A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,全新好,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,神州高铁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000009.SZ,中国宝安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000010.SZ,美丽生态,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000011.SZ,深物业A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
